index,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed
Count,576.0,576.0,576.0,576.0,576.0,576.0
Mean,17.550536736111113,21.553534999999986,65.74324652777774,71.81423611111111,49.447916666666664,8.142326388888875
Median,20.0498,29.072210000000002,66.75999999999999,77.0,56.0,6.93
std,36.59794075981835,90.11951665361421,14.960943402101712,19.76094647699026,40.1028287114478,5.992702692453294
min,-89.22161000000001,-179.44571000000002,19.24,3.0,0.0,0.22
max,89.22161000000001,178.44322000000003,95.11,100.0,100.0,43.73
25%,-7.017430000000001,-56.13944000000001,54.7875,62.0,3.75,3.4625
50%,20.0498,29.072210000000002,66.75999999999999,77.0,56.0,6.93
75%,46.114540000000005,96.48966250000001,78.26500000000001,86.0,90.0,11.395
